S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,signal
22.92982424,0.189833698,-11.11915529,6.154137529,-2.674033086,9.814816912,-4.283342878,14.35231659,12.65941649,27.25201575,8.737287962,1.42855842,-17.04503179,Bangla
22.71682395,0.737336605,-10.87586649,4.633587431,-4.089936426,8.299423284,-4.274018539,13.38552511,10.14317684,23.63057179,7.609349722,0.909462952,-15.0860903,Bangla
22.21391968,1.506152751,-10.04021532,4.431404522,-7.092637131,4.397635025,-3.712318952,11.78987943,8.946607029,18.30245135,7.122374606,-1.385666092,-13.5262441,Bangla
22.36273377,1.460447787,-10.02965495,4.683327422,-5.441047146,6.342381123,-3.378557217,12.59475538,8.532319763,19.85641423,7.816952716,-0.539870045,-14.13571673,Bangla
22.60919358,2.064722165,-8.975948368,5.166055723,-5.908402107,6.879093653,-0.650982371,12.34291134,9.554939735,19.63397944,9.130568953,0.914540977,-14.23817495,Bangla
22.40786338,2.274455457,-8.640436244,6.005054066,-6.175190781,7.036720489,0.032377957,11.684142,8.947693029,17.86240903,8.239843283,1.475810427,-14.00426783,Bangla
22.27917673,1.544378226,-9.552598846,6.596326577,-5.751077715,6.932592881,-2.283121483,12.5595064,9.586828625,20.91040414,9.988445922,0.452713682,-14.68253241,Bangla
22.12162272,1.287924273,-9.618134726,7.489833627,-5.974433191,7.080269671,-1.629712374,13.33164319,11.61605162,21.95928733,10.17934968,-0.520433482,-14.8285361,Bangla
22.02847992,2.123360867,-9.373767071,6.86373267,-7.21890954,5.523972561,-3.545633725,10.08875158,5.675069755,15.65131257,8.932944224,2.990609793,-10.19612653,Bangla
22.34074423,2.518214094,-9.864117077,6.153099637,-6.015104384,7.182699797,-4.312396303,8.003333167,0.226190597,9.85960354,0.820956674,1.479012805,-8.993120866,Bangla
22.54616029,2.627813604,-10.08616316,5.966243945,-5.112556133,6.755539244,-7.534388596,6.399375207,-4.23751693,6.183228495,-3.048444281,-0.694648618,-7.074743203,Bangla
22.72420664,2.828864403,-9.803393478,6.080759747,-6.438311757,4.733510623,-9.913490491,2.951050061,-4.123589838,6.228409943,-3.940159571,2.488886351,-1.483723725,Bangla
22.89528559,2.902943878,-9.670769358,6.139144038,-7.337387091,4.914419775,-8.946654303,1.31771813,-4.801431543,3.460508537,-6.725245147,6.557713681,2.54612658,Bangla
23.03396334,3.101788442,-8.99309358,8.641772543,-6.644882246,6.519373309,-6.668590237,2.836227337,-6.731886665,0.971746469,-4.60847333,5.8397843,1.943100347,Bangla
